lat,lng,city,state_name,county_name
40.6943,-73.9249,New York,New York,Queens
34.1141,-118.4068,Los Angeles,California,Los Angeles
41.8375,-87.6866,Chicago,Illinois,Cook
25.7840,-80.2101,Miami,Florida,Miami-Dade
32.7935,-96.7667,Dallas,Texas,Dallas
29.7860,-95.3885,Houston,Texas,Harris
40.0077,-75.1339,Philadelphia,Pennsylvania,Philadelphia
33.7628,-84.4220,Atlanta,Georgia,Fulton
38.9047,-77.0163,Washington,District of Columbia,District of Columbia
42.3188,-71.0852,Boston,Massachusetts,Suffolk
33.5722,-112.0892,Phoenix,Arizona,Maricopa
42.3834,-83.1024,Detroit,Michigan,Wayne
47.6211,-122.3244,Seattle,Washington,King
37.7558,-122.4449,San Francisco,California,San Francisco
32.8313,-117.1222,San Diego,California,San Diego
44.9635,-93.2678,Minneapolis,Minnesota,Hennepin
40.6501,-73.9496,Brooklyn,New York,Kings
27.9945,-82.4447,Tampa,Florida,Hillsborough
39.7620,-104.8758,Denver,Colorado,Denver
40.7498,-73.7976,Queens,New York,Queens
39.3051,-76.6144,Baltimore,Maryland,Baltimore
36.2333,-115.2654,Las Vegas,Nevada,Clark
38.6359,-90.2451,St. Louis,Missouri,St. Louis
45.5371,-122.6500,Portland,Oregon,Multnomah
33.9381,-117.3949,Riverside,California,Riverside
28.4773,-81.3370,Orlando,Florida,Orange
38.5677,-121.4685,Sacramento,California,Sacramento
18.3985,-66.0610,San Juan,Puerto Rico,San Juan
29.4632,-98.5238,San Antonio,Texas,Bexar
37.3012,-121.8480,San Jose,California,Santa Clara
40.4397,-79.9763,Pittsburgh,Pennsylvania,Allegheny
39.1413,-84.5060,Cincinnati,Ohio,Hamilton
40.7834,-73.9662,Manhattan,New York,New York
41.4764,-81.6805,Cleveland,Ohio,Cuyahoga
39.7771,-86.1458,Indianapolis,Indiana,Marion
30.3005,-97.7522,Austin,Texas,Travis
39.1238,-94.5541,Kansas City,Missouri,Jackson
39.9862,-82.9855,Columbus,Ohio,Franklin
35.2083,-80.8303,Charlotte,North Carolina,Mecklenburg
36.7335,-76.0435,Virginia Beach,Virginia,Virginia Beach
40.8501,-73.8662,Bronx,New York,Bronx
43.0642,-87.9675,Milwaukee,Wisconsin,Milwaukee
41.8230,-71.4187,Providence,Rhode Island,Providence
